Full Reference,Reference,doi,url,dir,title,au1,journal,scopus_id,nrefs,type,maybe
"West, R., et al., Electronic cigarettes: what we know so far. Briefing report to UK All-Party Parliamentary Group on Pharmacy. 2014.","West, R et al. (2014b)",NA,u,NA,Electronic cigarettes: what we know so far. Briefing report to UK All-Party Parliamentary Group on Pharmacy.,"West, R., et al",NA,NA,1,Journal article,0
Fire Statistical report,Fire Statistics (2015),NA,2015:DepartmentforCommunitiesandLocalGovernment/official report,NA,Fire Statistics: Great Britain April 2013 to March 2014.,Fire Statistics,NA,NA,1,Journal article,0
"Houezec, J., According to a new survey, youth smoking decreased during the last 4 years while e-cig used increased. 2014.","Houezec, J (2014)",NA,u,NA,"According to a new survey, youth smoking decreased during the last 4 years while e-cig used increased.","Houezec, J",NA,NA,1,Journal article,0
"Dautzenberg, B., et al., E-Cigarette: a new tobacco product for schoolchildren in Paris. Open Journal of Respiratory Diseases, 2013. 3(01): p. 21.","Dautzenberg, B et al. (2013)",NA,"OpenJournalofRespiratoryDiseases,2013.3(01):p.21.",NA,E-Cigarette: a new tobacco product for schoolchildren in Paris,"Dautzenberg, B., et al.",NA,NA,1,Journal article,0
"Hamilton, H.A., et al., Ever use of nicotine and non-nicotine electronic cigarettes among high school students in Ontario, Canada. Nicotine & Tobacco Research, 2014: p. ntu234.","Hamilton, HA et al. (2014)",NA,"Nicotine&TobaccoResearch,2014:p.ntu234.",NA,"Ever use of nicotine and non-nicotine electronic cigarettes among high school students in Ontario, Canada","Hamilton, H.A., et al.",NA,NA,1,Journal article,0
"Lippert, A.M., Do Adolescent Smokers Use E-Cigarettes to Help Them Quit? The Sociodemographic Correlates and Cessation Motivations of US Adolescent E-Cigarette Use. American Journal of Health Promotion, 2014.","Lippert, AM (2014)",NA,"AmericanJournalofHealthPromotion,2014.",NA,Do Adolescent Smokers Use E-Cigarettes to Help Them Quit? The Sociodemographic Correlates and Cessation Motivations of US Adolescent E-Cigarette Use,"Lippert, A.M.",NA,NA,1,Journal article,0
"Meier, E.M., et al., Which Nicotine Products Are Gateways to Regular Use?: First-Tried Tobacco and Current Use in College Students. Am J Prev Med, 2015. 48(1): p. S86-S93.","Meier, EM et al. (2015)",NA,"AmJPrevMed,2015.48(1):p.S86-S93.",NA,hich Nicotine Products Are Gateways to Regular Use?: First-Tried Tobacco and Current Use in College Students.,"Meier, E.M., et al.",NA,NA,1,Journal article,0
Scottish Government/official report,Scottish Government/official report,NA,Edinburgh:TheScottishGovernment/official report,NA,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS): Technical report,Scottish Government/official report,NA,NA,1,Journal article,0
Russell MAH. Cigarette smoking: natural history of a dependence disorder. Br J Med Psychol 1971;44:1.,"Russell, MA (1971)",NA,BrJMedPsychol1971;44:1.,NA,Cigarette smoking: natural history of a dependence disorder,Russell MAH,NA,NA,1,Journal article,0
"Russell MAH, Feyerabend C. Cigarette smoking: a dependence on high nicotine boli. Drug Metab Rev. 1978;8:29–57.","Russell, MA and Feyerabend, C (1978)",10.3109/03602537808993776,DrugMetabRev.1978;8:29–57.,NA,Cigarette smoking: A dependence on high-nicotine boli,Russell M.,Drug Metabolism Reviews,SCOPUS_ID:0018068378,1,Journal article,0
"St Helen G, Ross K, Dempsey DA, Havel CM, Jacob Pr, Benowitz N. Nicotine delivery and vaping behaviour during ad libitum e-cigarette access. Tob Regl Sci. 2016;2((4)):363-76.","St Helen, G et al. (2016b)",NA,tobReglSci.2016;2((4)):363-76.,NA,Nicotine delivery and vaping behaviour during ad libitum e-cigarette access,"St Helen G, Ross K, Dempsey DA, Havel CM, Jacob Pr, Benowitz N",NA,NA,1,Journal article,0
"Strong DR, Pearson J, Ehlke S, Kirchner T, Abrams D, Taylor K, et al. Indicators of dependence for different types of tobacco product users: Descriptive findings from Wave 1 (2013–2014) of the Population Assessment of Tobacco and Health (PATH) study. Drug Alcohol Depen. 2017;178:257-66.","Strong, DR et al. (2017)",NA,DrugAlcoholDepen.2017;178:257-66.,NA,ndicators of dependence for different types of tobacco product users: Descriptive findings from Wave 1 (2013–2014) of the Population Assessment of Tobacco and Health (PATH) study,"Strong DR, Pearson J, Ehlke S, Kirchner T, Abrams D, Taylor K, et al",NA,NA,1,Journal article,0
"St Helen G, Dempsey DA, Havel CM, Jacob P, Benowitz NL. Impact of e-liquid flavors on nicotine intake and pharmacology of e-cigarettes. Drug Alcohol Depend. 2017;178:391-8.","St Helen, G et al. (2017)",NA,DrugAlcoholDepend.2017;178:391-8.,NA,Impact of e-liquid flavors on nicotine intake and pharmacology of e-cigarettes,"St Helen G, Dempsey DA, Havel CM, Jacob P, Benowitz NL",NA,NA,1,Journal article,0
"Russell MAH. Smoking addiction: some implications for cessation. In: Schwartz J. L., editor. International Conference on Smoking Cessation. New York. 1978: pp. 205–25.",Russell MA (1978),NA,"In:SchwartzJ.L.,editor.InternationalConferenceonSmokingCessation.NewYork.1978:pp.205–25.",NA,Smoking addiction: some implications for cessation.,Russell MAH,NA,NA,1,Journal article,0
"Farrimond H. A typology of vaping: identifying differing beliefs, motivations for use, identify and political interest among e-cigarette users. Int J Drug Policy. 2017;48:81-90.","Farrimond, H (2017)",NA,IntJDrugPolicy.2017;48:81-90.,NA,"A typology of vaping: identifying differing beliefs, motivations for use, identify and political interest among e-cigarette users.",Farrimond H,NA,NA,1,Journal article,0
"Garcia-Arcos I, Geraghty P, Baumlin N, Campos M, Dabo A, Jundi B, et al. Chronic electronic cigarette exposure in mice induces features of COPD in a nicotine-dependent manner. Thorax. 2016;71(12):1119-29.","Garcia-Arcos, I et al. (2016)",NA,Thorax.2016;71(12):1119-29.,NA,hronic electronic cigarette exposure in mice induces features of COPD in a nicotine-dependent manner,"Garcia-Arcos I, Geraghty P, Baumlin N, Campos M, Dabo A, Jundi B, et al",NA,NA,1,Journal article,0
"Mukhin A, Rose J. Of mice and men. Comment on Sussan et al. PLoS One. 2015;61:99-102.","Mukhin, A and Rose, J (2015)",NA,CommentonSussanetal.PLoSOne.2015;61:99-102.,NA,Of mice and men,"Mukhin A, Rose J",NA,NA,1,Journal article,0
"Vlachopoulos C, Hirata K, O'Rourke MF. Effect of caffeine on aortic elastic properties and wave reflection. J Hypertens. 2003;21(3):563-70.","Vlachopoulos, C et al. (2003)",10.1097/00004872-200303000-00022,JHypertens.2003;21(3):563-70.,NA,Effect of caffeine on aortic elastic properties and wave reflection,Vlachopoulos C.,Journal of Hypertension,SCOPUS_ID:0037359248,1,Journal article,0
"Vlachopoulos C, Panagiotakos D, Ioakeimidis N, Dima I, Stefanadis C. Chronic coffee consumption has a detrimental effect on aortic stiffness and wave reflections 1,2. Am J Clin Nutr. 2005;81(6):1307-12.","Vlachopoulos, C et al. (2005)",NA,AmJClinNutr.2005;81(6):1307-12.,NA,"Chronic coffee consumption has a detrimental effect on aortic stiffness and wave reflections 1,2","Vlachopoulos C, Panagiotakos D, Ioakeimidis N, Dima I, Stefanadis C",NA,NA,1,Journal article,0
"Black C, Murray L, Setterfield L, Sperati A. Scottish schools lifestyle and substance use survey 2015 – Mode effect study. Edinburgh: Scottish Government/official report","Black, C et al. (2015)",NA,Edinburgh:ScottishGovernment/official report,NA,Scottish schools lifestyle and substance use survey 2015 – Mode effect study,"Black C, Murray L, Setterfield L, Sperati A",NA,NA,1,Journal article,0
"Montreuil A, MacDonald M, Asbridge M, Wild TC, Hammond D, Manske S, et al. Prevalence and correlates of electronic cigarette use among Canadian students: cross-sectional findings from the 2014/15 Canadian Student Tobacco, Alcohol and Drugs Survey. CMAJ Open. 2017;5(2):E460-e7.","Montreuil, A et al. (2017)",NA,CMAJOpen.2017;5(2):E460-e7.,NA,"Prevalence and correlates of electronic cigarette use among Canadian students: cross-sectional findings from the 2014/15 Canadian Student Tobacco, Alcohol and Drugs Survey.","Montreuil A, MacDonald M, Asbridge M, Wild TC, Hammond D, Manske S, et al.",NA,NA,1,Journal article,0
"Lee JA, Kim SH, Cho H-J. Electronic cigarette use among Korean adults. Int J Public Health. 2016;61(2):151-7.","Lee, JA et al. (2016)",10.1002/JPER.19-0060,IntJPublicHealth.2016;61(2):151-7.,NA,Associations of electronic and conventional cigarette use with periodontal disease in South Korean adults,Jeong W.,Journal of periodontology,SCOPUS_ID:85078382150,1,Journal article,0
"Tabuchi T, Kiyohara K, Hoshino T, Bekki K, Inaba Y, Kunugita N. Awareness and use of electronic cigarettes and heat-not-burn tobacco products in Japan. Addiction. 2016;111(4):706-13.","Tabuchi, T et al. (2016)",10.1111/add.13231,Addiction.2016;111(4):706-13.,NA,Awareness and use of electronic cigarettes and heat-not-burn tobacco products in Japan,Tabuchi T.,Addiction,SCOPUS_ID:84961136943,1,Journal article,0
"West R, Shahab L, Brown J. Estimating the population impact of e-cigarettes on smoking cessation in England. Addiction. 2016;111(6):1118-9.","West, R et al. (2016)",10.1111/add.13343,Addiction.2016;111(6):1118-9.,NA,Estimating the population impact of e-cigarettes on smoking cessation in England,West R.,Addiction,SCOPUS_ID:84960538213,1,Journal article,0
"Partos T, Brose L, Hitchman S, McNeill A, editors. Conference Presentation: The effectiveness of electronic cigarettes as an aid to quitting smoking. Society for the Study of Addiction, November 2017; 2017; Newcastle Upon Tyne.","Partos, T et al. (2017)",NA,November2017;2017;NewcastleUponTyne.,NA,"Conference Presentation: The effectiveness of electronic cigarettes as an aid to quitting smoking. Society for the Study of Addiction,","Partos T, Brose L, Hitchman S, McNeill A,",NA,NA,1,Journal article,0
"Higgins JP, Altman DG, Gøtzsche PC, Jüni P, Moher D, Oxman AD, et al. The Cochrane Collaboration’s tool for assessing risk of bias in randomised trials. BMJ Brit Med J. 2011;18(343):d5928.","Higgins, JP et al. (2011)",NA,BMJBritMedJ.2011;18(343):d5928.,NA,The Cochrane Collaboration’s tool for assessing risk of bias in randomised trials.,"Higgins JP, Altman DG, Gøtzsche PC, Jüni P, Moher D, Oxman AD, et al.",NA,NA,1,Journal article,0
"Hickling L, Perez-Iglesias R, McNeill A, Dawkins L, Moxham J, Ruffell T, et al. Electronic cigarettes as a harm-reduction strategy in people with serious mental illness: A pilot clinical trial. Poster presentation, Society for the Study of Addiction. Schizophrenia International Research Society (SIRS) 2016 Biennial Meeting, Italy 2016.","Hickling, L et al. (2016)",NA,"SchizophreniaInternationalResearchSociety(SIRS)2016BiennialMeeting,Italy2016.",NA,"Electronic cigarettes as a harm-reduction strategy in people with serious mental illness: A pilot clinical trial. Poster presentation, Society for the Study of Addiction.","Hickling L, Perez-Iglesias R, McNeill A, Dawkins L, Moxham J, Ruffell T, et al",NA,NA,1,Journal article,0
"Jamison A, Lockington D. Ocular chemical injury secondary to electronic cigarette liquid misuse. JAMA Ophthalmol. 2016;134(12):1443.","Jamison, A et al. (2016)",10.1001/jamaophthalmol.2016.3651,AMAOphthalmol.2016;134(12):1443.,NA,Ocular chemical injury secondary to electronic cigarette liquid misuse,Jamison A.,JAMA Ophthalmology,SCOPUS_ID:85011417969,1,Journal article,0
"Prasanna M, Narayanan B. Nicotine overdose-is it really a drink? Anaesthesia. 2016;71:12.","Prasanna, M and Narayanan, B (2016)",NA,Anaesthesia.2016;71:12.,NA,Nicotine overdose-is it really a drink?,"Prasanna M, Narayanan B",NA,NA,1,Journal article,0
"Seo AD, Kim DC, Yu HJ, Kang MJ. Accidental ingestion of E-cigarette liquid nicotine in a 15-month-old child: An infant mortality case of nicotine intoxication. Korean J Pediatrics. 2016;59(12):490-3.","Seo, AD et al. (2016)",NA,KoreanJPediatrics.2016;59(12):490-3.,NA,ccidental ingestion of E-cigarette liquid nicotine in a 15-month-old child: An infant mortality case of nicotine intoxication.,"Seo AD, Kim DC, Yu HJ, Kang MJ",NA,NA,1,Journal article,0
"Eggleston W, Nacca N, Stork CM, Marraffa JM. Pediatric death after unintentional exposure to liquid nicotine for an electronic cigarette. Clin Toxicol. 2016;54(9):890-1.","Eggleston, W et al. (2016)",NA,ClinToxicol.2016;54(9):890-1.,NA,ediatric death after unintentional exposure to liquid nicotine for an electronic cigarette,"Eggleston W, Nacca N, Stork CM, Marraffa JM.",NA,NA,1,Journal article,0
"Sommerfeld K, Lukasik-Glebocka M, Kulza M, Druzdz A, Panienski P, Florek E, et al. Intravenous and oral suicidal e-liquid poisonings with confirmed nicotine and cotinine concentrations. Forensic Sci Int. 2016;262:e15-e20.","Sommerfeld, K et al. (2016)",NA,ForensicSciInt.2016;262:e15-e20.,NA,ntravenous and oral suicidal e-liquid poisonings with confirmed nicotine and cotinine concentrations,"Sommerfeld K, Lukasik-Glebocka M, Kulza M, Druzdz A, Panienski P, Florek E, et al",NA,NA,1,Journal article,0
"Rasanen M, Helantera I, Kalliomaki J, Savikko J, Parry M, Lempinen M. A case report of successful kidney donation after brain death following nicotine intoxication. Transpl P. 2017;49(1):229-31.","Rasanen, M et al. (2017)",10.1016/j.transproceed.2016.08.043,TransplP.2017;49(1):229-31.,NA,A Case Report of Successful Kidney Donation After Brain Death Following Nicotine Intoxication,Räsänen M.,Transplantation Proceedings,SCOPUS_ID:85009821184,1,Journal article,0
"You G, Rhee J, Park Y, Park S. Determination of nicotine, cotinine and trans-3 '-hydroxycotinine using LC/MS/MS in forensic samples of a nicotine fatal case by oral ingestion of e-cigarette liquid. J Forensic Sci. 2016;61(4):1149-54.","You, G et al. (2016)",10.1111/1556-4029.13083,JForensicSci.2016;61(4):1149-54.,NA,"Determination of Nicotine, Cotinine and Trans-3′-Hydroxycotinine using LC/MS/MS in Forensic Samples of a Nicotine Fatal Case by Oral Ingestion of e-cigarette Liquid,",You G.,Journal of Forensic Sciences,SCOPUS_ID:85027954848,1,Journal article,0
"Lam RPK, Tang MHY, Leung SC, Chong YK, Tsui MSH, Mak TWL. Supraventricular tachycardia and acute confusion following ingestion of e-cigarette fluid containing AB-FUBINACA and ADB-FUBINACA: a case report with quantitative analysis of serum drug concentrations. Clin Toxicol. 2017;55(7):662-7.","Lam, RP et al. (2017)",NA,ClinToxicol.2017;55(7):662-7.,NA,upraventricular tachycardia and acute confusion following ingestion of e-cigarette fluid containing AB-FUBINACA and ADB-FUBINACA: a case report with quantitative analysis of serum drug concentrations,"Lam RPK, Tang MHY, Leung SC, Chong YK, Tsui MSH, Mak TWL",NA,NA,1,Journal article,0
"Ramirez JI, Ridgway CA, Lee JG, Potenza BM, Sen S, Palmieri TL, et al. The unrecognized epidemic of electronic cigarette burns. J Burn Care Res. 2017;38(4):220-4.","Ramirez, JI et al. (2017)",NA,JBurnCareRes.2017;38(4):220-4.,NA,he unrecognized epidemic of electronic cigarette burns.,"Ramirez JI, Ridgway CA, Lee JG, Potenza BM, Sen S, Palmieri TL, et al",NA,NA,1,Journal article,0
"Van Staden SR, Groenewald M, Engelbrecht R, Becker PJ, Hazelhurst LT. Carboxyhaemoglobin levels, health and lifestyle perceptions in smokers converting from tobacco cigarettes to electronic cigarettes. S Afr Med J. 2013;103(11):865-8.","Van Staden, SR et al. (2013)",10.7196/SAMJ.6887,SAfrMedJ.2013;103(11):865-8.,NA,"Carboxyhaemoglobin levels, health and lifestyle perceptions in smokers converting from tobacco cigarettes to electronic cigarettes",van Staden S.,South African Medical Journal,SCOPUS_ID:84886025026,1,Journal article,0
"Fuller T, Acharya A, Bhaskar G, Yu M, Little S, Tarin T. Evaluation of e-cigarettes users urine for known bladder carcinogens: Mp88-14. J Urology. 2017;197(4):e1179.","Fuller, T et al. (2017)",NA,Mp88-14.JUrology.2017;197(4):e1179.,NA,Evaluation of e-cigarettes users urine for known bladder carcinogens,"Fuller T, Acharya A, Bhaskar G, Yu M, Little S, Tarin T.",NA,NA,1,Journal article,0
"Miler J, Mayer B, Hajek P. Changes in the frequency of airway infections in smokers who switched to vaping: Results of an online survey. J Addict Res Ther. 2016;7(290):2.","Miler, JA et al. (2016)",NA,JAddictResTher.2016;7(290):2.,NA,Changes in the frequency of airway infections in smokers who switched to vaping: Results of an online survey.,"Miler J, Mayer B, Hajek P.",NA,NA,1,Journal article,0
"Fujioka K, Shibamoto T. Determination of toxic carbonyl compounds in cigarette smoke. Environ Toxicol. 2006;21(1):47-54.","Fujioka, K and Shibamoto, T (2006)",10.1002/tox.20153,EnvironToxicol.2006;21(1):47-54.,NA,Determination of toxic carbonyl compounds in cigarette smoke,Fujioka K.,Environmental Toxicology,SCOPUS_ID:33244473082,1,Journal article,0
"Gerloff J, Sundar IK, Freter R, Sekera ER, Friedman AE, Robinson R, et al. Inflammatory response and barrier dysfunction by different e-cigarette flavoring chemicals identified by gas chromatography–mass spectrometry in e-liquids and e-vapors on human lung epithelial cells and fibroblasts. Appl In Vitro Toxicol. 2017;3(1):28-40.","Gerloff, J et al. (2017)",NA,ApplInVitroToxicol.2017;3(1):28-40.,NA,Inflammatory response and barrier dysfunction by different e-cigarette flavoring chemicals identified by gas chromatography–mass spectrometry in e-liquids and e-vapors on human lung epithelial cells and fibroblasts,"Gerloff J, Sundar IK, Freter R, Sekera ER, Friedman AE, Robinson R, et al.",NA,NA,1,Journal article,0
"O’Connell G, Graff DW, D’Ruiz CD. Reductions in biomarkers of exposure (BoE) to harmful or potentially harmful constituents (HPHCs) following partial or complete substitution of cigarettes with electronic cigarettes in adult smokers. Toxicol Mech Method. 2016;26(6):453-64.","O’Connell, G et al. (2016)",NA,ToxicolMechMethod.2016;26(6):453-64.,NA,Reductions in biomarkers of exposure (BoE) to harmful or potentially harmful constituents (HPHCs) following partial or complete substitution of cigarettes with electronic cigarettes in adult smokers.,"O’Connell G, Graff DW, D’Ruiz CD.",NA,NA,1,Journal article,0
"Kotandeniya D, Carmella SG, Pillsbury ME, Hecht SS. Combined analysis of N′-nitrosonornicotine and 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol in the urine of cigarette smokers and e-cigarette users. J Chromatogr B. 2015;1007:121-6.","Kotandeniya, D et al. (2015)",NA,JChromatogrB.2015;1007:121-6.,NA,Combined analysis of N'-nitrosonornicotine and 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol in the urine of cigarette smokers and e-cigarette users,"Kotandeniya D, Carmella SG, Pillsbury ME, Hecht SS.",NA,NA,1,Journal article,0
"Nguyen KH, Tong VT, Marynak KL, King BA. US adults' perceptions of the harmful effects during pegnancy of using electronic vapor products versus smoking cigarettes, styles survey, 2015. Prev Chronic Dis. 2016;13:E175.","Nguyen, KH et al. (2015)",NA,PrevChronicDis.2016;13:E175.,NA,"US adults' perceptions of the harmful effects during pegnancy of using electronic vapor products versus smoking cigarettes, styles survey, 2015","Nguyen KH, Tong VT, Marynak KL, King BA.",NA,NA,1,Journal article,0
"Ludicke F, Baker G, Magnette J, Picavet P, Weitkunat R. Reduced exposure to harmful and potentially harmful smoke constituents with the Tobacco Heating System 2.1. Nicotine Tob Res. 2017;19(2):168-75.","Ludicke, F et al. (2017)",NA,NicotineTobRes.2017;19(2):168-75.,NA,Reduced exposure to harmful and potentially harmful smoke constituents with the Tobacco Heating System 2.1.,"Ludicke F, Baker G, Magnette J, Picavet P, Weitkunat R.",NA,NA,1,Journal article,0
"Haziza C, de La Bourdonnaye G, Skiada D, Ancerewicz J, Baker G, Picavet P, et al. Evaluation of the Tobacco Heating System 2.2. Part 8: 5-day randomized reduced exposure clinical study in Poland. Regul Toxicol Pharm. 2016;81:S139-S50.","Haziza, C et al. (2016b)",NA,RegulToxicolPharm.2016;81:S139-S50.,NA,valuation of the Tobacco Heating System 2.2. Part 8: 5-day randomized reduced exposure clinical study in Poland.,"Haziza C, de La Bourdonnaye G, Skiada D, Ancerewicz J, Baker G, Picavet P, et al.",NA,NA,1,Journal article,0
"Mitova MI, Campelos PB, Goujon-Ginglinger CG, Maeder S, Mottier N, Rouget EGR, et al. Comparison of the impact of the Tobacco Heating System 2.2 and a cigarette on indoor air quality. Regul Toxicol Pharm. 2016;80:91-101.","Mitova, MI et al. (2016)",NA,RegulToxicolPharm.2016;80:91-101.,NA,Comparison of the impact of the Tobacco Heating System 2.2 and a cigarette on indoor air quality.,"Mitova MI, Campelos PB, Goujon-Ginglinger CG, Maeder S, Mottier N, Rouget EGR, et al",NA,NA,1,Journal article,0
"O’Connell G, Wilkinson P, Burseg KMM, Stotesbury SJ, Pritchard JD. Heated tobacco products create side-stream emissions: Implications for regulation. J Environ Anal Chem. 2015;02(05):1000163.","O’Connell, G et al. (2015b)",NA,JEnvironAnalChem.2015;02(05):1000163.,NA,Heated tobacco products create side-stream emissions: Implications for regulation.,"O’Connell G, Wilkinson P, Burseg KMM, Stotesbury SJ, Pritchard JD.",NA,NA,1,Journal article,0
"Ludicke F, Picavet P, Baker G, Haziza C, Poux V, Lama N, et al. Effects of Switching to the Tobacco Heating System 2.2 Menthol, smoking abstinence, or continued cigarette smoking on biomarkers of exposure: A randomized, controlled, open-label, multicenter study in sequential confinement and ambulatory settings (part 1). Nicotine Tob Res. 2017:ntw287.","Ludicke, F et al. (2017b)",NA,NicotineTobRes.2017:ntw287.,NA,"Effects of Switching to the Tobacco Heating System 2.2 Menthol, smoking abstinence, or continued cigarette smoking on biomarkers of exposure: A randomized, controlled, open-label, multicenter study in sequential confinement and ambulatory settings (part 1).","Ludicke F, Picavet P, Baker G, Haziza C, Poux V, Lama N, et al.",NA,NA,1,Journal article,0
SRNT Subcommittee on Biochemical Verification. Biochemical verification of tobacco use and cessation. Nicotine Tob Res. 2002;4(2):149-59.,Society For Research on Nicotine and Tobacco (2002),NA,NicotineTobRes.2002;4(2):149-59.,NA,Biochemical verification of tobacco use and cessation,Society For Research on Nicotine and Tobacco,NA,NA,1,Journal article,0
"Brose LS, Simonavicius E, Cheeseman H. Awareness and use of ‘heat-not-burn’ tobacco products in Great Britain. Tob Regul Sci. In press.","Brose, LS et al. (2018)",NA,TobRegulSci.Inpress.,NA,Awareness and use of ‘heat-not-burn’ tobacco products in Great Britain,"Brose LS, Simonavicius E, Cheeseman H.",NA,NA,1,Journal article,0
"Hajek P, Corbin L, Ladmore D, Spearing E. Adding e-cigarettes to specialist stop-smoking treatment: City of London pilot project. J Addict Res Ther. 2015;6(244):2.","Hajek, P et al. (2015b)",NA,JAddictResTher.2015;6(244):2.,NA,Adding e-cigarettes to specialist stop-smoking treatment: City of London pilot project.,"Hajek P, Corbin L, Ladmore D, Spearing E.",NA,NA,1,Journal article,0
"Humair J-P, Tango R. Can e-cigarette help patients to reduce or stop smoking in primary care practice? J Gen Intern Med. 2014;29:S480-S.","Humair, JP and Tango, R (2014)",NA,JGenInternMed.2014;29:S480-S.,NA,Can e-cigarette help patients to reduce or stop smoking in primary care practice?,"Humair J-P, Tango R.",NA,NA,1,Journal article,0
"Berg CJ, Barr DB, Stratton E, Escoffery C, Kegler M. Attitudes toward e-cigarettes, reasons for initiating e-cigarette use, and changes in smoking behavior after initiation: a pilot longitudinal study of regular cigarette smokers. Open J Prev Med. 2014;4(10):789.","Berg, CJ et al. (2014)",NA,OpenJPrevMed.2014;4(10):789.,NA,"Attitudes toward e-cigarettes, reasons for initiating e-cigarette use, and changes in smoking behavior after initiation: a pilot longitudinal study of regular cigarette smokers","Berg CJ, Barr DB, Stratton E, Escoffery C, Kegler M.",NA,NA,1,Journal article,0
"Dawkins L, Turner J, Roberts A, Soar K. ‘Vaping’profiles and preferences: an online survey of electronic cigarette users. Addiction. 2013;108(6):1115-25.","Dawkins, L et al. (2013b)",10.1111/add.12150,Addiction.2013;108(6):1115-25,NA,Vaping' profiles and preferences: An online survey of electronic cigarette users,Dawkins L.,Addiction,SCOPUS_ID:84877673105,1,Journal article,0
"Harrington K, Cheong J, Hendricks S, Kohler C, Bailey W. E-cigarette and traditional cigarette use among smokers during hospitalization and 6 months later. Cancer Epidemiol Biomarkers Prev. 2015;24(4):762-.","Harrington, K et al. (2015)",NA,CancerEpidemiolBiomarkersPrev.2015;24(4):762-.,NA,E-cigarette and traditional cigarette use among smokers during hospitalization and 6 months later.,"Harrington K, Cheong J, Hendricks S, Kohler C, Bailey W.",NA,NA,1,Journal article,0
"Brooks JK, Kleinman JW, Brooks JB, Reynolds MA. Electronic cigarette explosion associated with extensive intraoral injuries. Dent Traumatol. 2017;33(2):149-52.","Brooks, JK et al. (2017)",10.1111/edt.12293,DentTraumatol.2017;33(2):149-52.,NA,Electronic cigarette explosion associated with extensive intraoral injuries,Brooks J.,Dental Traumatology,SCOPUS_ID:84978152148,1,Journal article,0
"Colaianni CA, Tapias LF, Cauley R, Sheridan R, Schulz JT, Goverman J. Injuries caused by explosion of electronic cigarette devices. Eplasty. 2016;16:ic9.","Colaianni, CA et al. (2016)",NA,Eplasty.2016;16:ic9.,NA,Injuries caused by explosion of electronic cigarette devices,"Colaianni CA, Tapias LF, Cauley R, Sheridan R, Schulz JT, Goverman J",NA,NA,1,Journal article,0
"Foran I, Oak NR, Meunier MJ. High-pressure injection injury caused by electronic cigarette explosion: A case report. JBJS Case Connect. 2017;7(2):e36.","Foran, I et al. (2017)",10.2106/JBJS.CC.16.00177,JBJSCaseConnect.2017;7(2):e36.,NA,High-pressure injection injury caused by electronic cigarette explosion: A case report,Foran I.,JBJS Case Connector,SCOPUS_ID:85020734720,1,Journal article,0
"Jiwani AZ, Williams JF, Rizzo JA, Chung KK, King BT, Cancio LC. Thermal injury patterns associated with electronic cigarettes. Int J Burns Trauma. 2017;7(1):1-5.","Jiwani, AZ et al. (2017)",NA,IntJBurnsTrauma.2017;7(1):1-5.,NA,hermal injury patterns associated with electronic cigarettes,"Jiwani AZ, Williams JF, Rizzo JA, Chung KK, King BT, Cancio LC",NA,NA,1,Journal article,0
"Khairudin MN, Mohd Zahidin AZ, Bastion ML. Front to back ocular injury from a vaping-related explosion. BMJ Case Reports. 2016;05:05.","Khairudin, MN et al. (2016)",10.1136/bcr-2016-214964,BMJCaseReports.2016;05:05.,NA,Front to back ocular injury from a vaping-related explosion,Khairudin M.,BMJ Case Reports,SCOPUS_ID:84964389276,1,Journal article,0
"Kite AC, Le BQ, Cumpston KL, Hieger MA, Feldman MJ, Pozez AL. Blast injuries caused by vape devices: 2 case reports. Ann Plas Surg. 2016;77(6):620-2.","Kite, AC et al. (2016)",10.1097/SAP.0000000000000875,AnnPlasSurg.2016;77(6):620-2.,NA,Blast injuries caused by vape devices 2 case reports,Kite A.,Annals of Plastic Surgery,SCOPUS_ID:84979997659,1,Journal article,0
"Patterson SB, Beckett A, Lintner A, Brevard SB, Simmons JD, Kahn SA. E-cigarette explosions in the USA: A case report and classification of injuries from the literature. J Burn Care Res. 2016;37:S247.","Patterson, SB et al. (2016)",NA,JBurnCareRes.2016;37:S247.,NA,E-cigarette explosions in the USA: A case report and classification of injuries from the literature.,"Patterson SB, Beckett A, Lintner A, Brevard SB, Simmons JD, Kahn SA.",NA,NA,1,Journal article,0
"Sheckter C, Chattopadhyay A, Paro J, Karanas Y. Burns resulting from spontaneous combustion of electronic cigarettes: a case series. Burns & Trauma. 2016;4:35.","Sheckter, C et al. (2016)",NA,Burns&Trauma.2016;4:35.,NA,Burns resulting from spontaneous combustion of electronic cigarettes: a case series,"Sheckter C, Chattopadhyay A, Paro J, Karanas Y",NA,NA,1,Journal article,0
"Britton, J. and I. Bogdanovica, Electronic cigarettes: A report commissioned by Public Health England. 2014, Public Health England: London.","Britton, J and Bogdanovica I (2014)",NA,"2014,PublicHealthEngland:London",NA,Electronic cigarettes: A report commissioned by Public Health England.,"Britton, J. and I. Bogdanovica,",NA,NA,1,Journal article,0
"Department of Health and Social Care, The Government/official report",Department of Health and Social Care (2018b),NA,2018:London.,NA,The Government/official report,Department of Health and Social Care,NA,NA,1,Journal article,0
"NHS, The NHS Long term plan. 2019, NHS: www.longtermplan.nhs.uk.",NHS England (2019),NA,www.longtermplan.nhs.uk.,NA,The NHS Long term plan. 2019,NHS,NA,NA,1,Journal article,0
