Reference,nrefs,Full Reference
"Lee, JA et al. (2016)",1,"Lee JA, Kim SH, Cho H-J. Electronic cigarette use among Korean adults. Int J Public Health. 2016;61(2):151-7."
"Tabuchi, T et al. (2016)",1,"Tabuchi T, Kiyohara K, Hoshino T, Bekki K, Inaba Y, Kunugita N. Awareness and use of electronic cigarettes and heat-not-burn tobacco products in Japan. Addiction. 2016;111(4):706-13."
"Li, J et al. (2015)",2,"Li J, Newcombe R, Walton D. The prevalence, correlates and reasons for using electronic cigarettes among New Zealand adults. Addict Behav. 2015;45:245-51."
"Yong, HH et al. (2015)",1,"Yong HH, Borland R, Balmford J, McNeill A, Hitchman S, Driezen P, et al. Trends in e-cigarette awareness, trial, and use under the different regulatory environments of australia and the United Kingdom. Nicotine Tob Res. 2015;17(10):1203-11."
"Brown, J and West, R (2017)",1,"Brown J, West R. Quit success rates in England 2007-2017. Brief report. 2017. Available from: www.smokinginbritain.co.uk."
"West, R et al. (2016)",1,"West R, Shahab L, Brown J. Estimating the population impact of e-cigarettes on smoking cessation in England. Addiction. 2016;111(6):1118-9."
"Beard, E et al. (2016)",2,"Beard E, West R, Michie S, Brown J. Association between electronic cigarette use and changes in quit attempts, success of quit attempts, use of smoking cessation pharmacotherapy, and use of stop smoking services in England: time series analysis of population trends. BMJ Brit Med J. 2016;354:i4645-i."
"Beard, E et al. (2015)",1,"Beard E, Brown J, McNeill A, Michie S, West R. Has the growth in electronic cigarette use by smokers been responsible for the decline in use of licensed nicotine product? Findings from repeated cross-sectional surveys. Thorax. 2015;70(10):974-8."
"Partos, T et al. (2017)",1,"Partos T, Brose L, Hitchman S, McNeill A, editors. Conference Presentation: The effectiveness of electronic cigarettes as an aid to quitting smoking. Society for the Study of Addiction, November 2017; 2017; Newcastle Upon Tyne."
"West, R et al. (2005a)",1,"West R, Hajek P, Stead L, Stapleton J. Outcome criteria in smoking cessation trials: proposal for a common standard. Addiction. 2005;100(3):299-303."
Cancer Research UK and Action on Smoking and Health (2016),1,"Cancer Research UK, ASH. Cutting down: the reality of budget cuts to local tobacco control. A survey of tobacco control leads in local authorities in England 2016. Available from: https://www.cancerresearchuk.org/."
"West, R (2012)",1,West R. Stop smoking services: increased chances of quitting. London: National Centre for Smoking Cessation and Training (NCSCT); 2012.
"Hiscock, R et al. (2015)",1,"Hiscock R, Bauld L, Arnott D, Dockrell M, Ross L, McEwen A. Views from the coalface: what do English stop smoking service personnel think about e-cigarettes? Int J Environ Res Public Health. 2015;12(12):16157-67."
"Tseng, TY et al. (2016)",1,"Tseng TY, Ostroff JS, Campo A, Gerard M, Kirchner T, Rotrosen J, et al. A randomized trial comparing the effect of nicotine versus placebo electronic cigarettes on smoking reduction among young adult smokers. Nicotine Tob Res. 2016;18(10):1937-43."
"Hartmann-Boyce, J et al. (2016)",5,"Hartmann-Boyce J, McRobbie H, Bullen C, Begh R, Stead LF, Hajek P. Electronic cigarettes for smoking cessation. Cochrane D Syst Rev. 2016;(9)(CD010216)."
"Khoudigian, S et al. (2016)",1,"Khoudigian S, Devji T, Lytvyn L, Campbell K, Hopkins R, O'Reilly D. The efficacy and short-term effects of electronic cigarettes as a method for smoking cessation: a systematic review and a meta-analysis. Int J Pub Heal. 2016;61(2):257-67."
"Malas, M et al. (2016)",2,"Malas M, van der Tempel J, Schwartz R, Minichiello A, Lightfoot C, Noormohamed A, et al. Electronic cigarettes for smoking cessation: A systematic review. Nicotine Tob Res. 2016;18(10):1926-36."
"Rahman, MA et al. (2015)",1,"Rahman MA, Hann N, Wilson A, Mnatzaganian G, Worrall-Carter L. E-Cigarettes and smoking cessation: Evidence from a systematic review and meta-analysis. PLoS One. 2015;10(3):e0122544."
"Vanderkam, P et al. (2016)",1,"Vanderkam P, Boussageon R, Underner M, Langbourg N, Brabant Y, Binder P, et al. Efficacy and security of electronic cigarette for tobacco harm reduction: Systematic review and meta-analysis (French language). Presse Med 2016;45(11):971-85."
"Gualano, MR et al. (2015)",2,"Gualano MR, Passi S, Bert F, La Torre G, Scaioli G, Siliquini R. Electronic cigarettes: assessing the efficacy and the adverse effects through a systematic review of published studies. J Public Health. 2015;37(3):488-97."
"Heydari, G et al. (2017)",1,"Heydari G, Ahmady AE, Chamyani F, Masjedi M, Fadaizadeh L. Electronic cigarette, effective or harmful for quitting smoking and respiratory health: A quantitative review papers. Lung India. 2017;34(1):25-8."
"Lam, C and West, A (2015)",1,"Lam C, West A. Are electronic nicotine delivery systems an effective smoking cessation tool? Can J Respiratory Therapy. 2015;51(4):93-8."
"Waghel, RC et al. (2015)",1,"Waghel RC, Battise DM, Ducker ML. Effectiveness of electronic cigarettes as a tool for smoking cessation or reduction. J Pharm Technol. 2015;31(1):8-12."
"Villanti, A et al. (2017)",1,"Villanti A, Feirman S, Niaura R, Pearson J, Glasser A, Collins L, et al. How do we determine the impact of e-cigarettes on cigarette smoking cessation or reduction? Review and recommendations for answering the research question with scientific rigor. Addiction. 2017;Oct 3:10.1111/add.14020."
"Van Tulder, M et al. (2003)",1,"Van Tulder M, Furlan A, Bombardier C, Bouter L, and Editorial Board of the Cochrane Collaboration Back Review Group. Updated method guidelines for systematic reviews in the cochrane collaboration back review group. Spine. 2003;28(12):1290-9."
"Downs, SH et al. (1998)",1,"Downs SH, Black N. The feasibility of creating a checklist for the assessment of the methodological quality both of randomised and non-randomised studies of health care interventions. J Epidemiol Community Health. 1998(52):377-84."
"Higgins, JP et al. (2011)",1,"Higgins JP, Altman DG, Gøtzsche PC, Jüni P, Moher D, Oxman AD, et al. The Cochrane Collaboration’s tool for assessing risk of bias in randomised trials. BMJ Brit Med J. 2011;18(343):d5928."
"Guyatt, GH et al. (2008)",1,"Guyatt GH, Oxman AD, Vist GE, Kunz R, Falck-Ytter Y, Alonso-Coello P. GRADE: an emerging consensus on rating quality of evidence and strength of recommendations. BMJ Brit Med J. 2008;336(7650):924-6."
"Sterne, JA et al. (2015)",1,"Sterne JA, Higgins JP, Reeves BC, on behalf of the development group for ACROBAT-NRSI. A Cochrane Risk Of Bias Assessment Tool: for Non-Randomized Studies of Interventions (ACROBAT- NRSI), Version 1.0.0, 24 September 2014 2015. Available from: http://www.riskofbias.info."
"Guyatt, GH et al (2015)",1,"Guyatt GH, Busse JW. Modification of Cochrane tool to assess risk of bias in randomized trials 2015. Available from: http://distillercer.com/resources/."
"Guyatt, GH et al. (2017)",1,"Guyatt GH, Busse JW. Modification of Ottawa-Newcastle to assess risk of bias in nonrandomized trials 2017. Available from: http://distillercer.com/resources/."
"Robson, D and McNeill, A (2017)",1,"Robson D, McNeill A. Commentary on Villanti et al paper. Addiction. 2017:[In press]."
"Szatkowski, L and McNeill, A (2015)",1,"Szatkowski L, McNeill A. Diverging trends in smoking behaviours according to mental health status. Nicotine & Tobacco Research. 2015;17:356-60."
"Cookson, C et al. (2014)",1,"Cookson C, Strang J, Ratschen E, Sutherland G, Finch E, McNeill A. Smoking and its treatment in addiction services: Clients' and staff behaviour and attitudes. BMC Health Services Research. 2014;14:304."
"Wu, CY et al. (2013)",1,"Wu C-Y, Chang C-K, Robson D, Jackson R, Chen S-J, Hayes RD, et al. Evaluation of smoking status identification using electronic health records and open-text information in a large mental health case register. PloS One. 2013;8(9):e74262."
Public Health England (2015c),1,"Public Health England, King's College London. Reducing smoking in prisons. Management of tobacco use and nicotine withdrawal. London: PHE; 2015."
"Anthenelli, RM et al. (2016)",1,"Anthenelli RM, Benowitz NL, West R, St Aubin L, McRae T, Lawrence D, et al. Neuropsychiatric safety and efficacy of varenicline, bupropion, and nicotine patch in smokers with and without psychiatric disorders (EAGLES): a double-blind, randomised, placebo-controlled clinical trial. Lancet. 2016;387(10037):2507-20."
"Roberts, E et al. (2016)",1,"Roberts E, Eden Evins A, McNeill A, Robson D. Efficacy and tolerability of pharmacotherapy for smoking cessation in adults with serious mental illness: a systematic review and network meta‐analysis. Addiction. 2016;111(4):599-612."
"Thurgood, SL et al. (2016)",1,"Thurgood SL, McNeill A, Clark-Carter D, Brose LS. A systematic review of smoking cessation interventions for adults in substance abuse treatment or recovery. Nicotine Tob Res. 2016;18(5):993-1001."
National Institute for Health and Care Excellence (2013c),1,"National Institute for Health and Care Excellence. Smoking: acute, maternity and mental health services www.nice.org.uk/guidance/ph48: NICE; 2013. Available from: https://www.nice.org.uk/guidance/ph48."
"Pratt, SI et al. (2016)",2,"Pratt SI, Sargent J, Daniels L, Santos MM, Brunette M. Appeal of electronic cigarettes in smokers with serious mental illness. Addict Behav. 2016;59:30-4."
"Stein, MD et al. (2016)",1,"Stein MD, Caviness C, Grimone K, Audet D, Anderson BJ, Bailey GL. An open trial of electronic cigarettes for smoking cessation among methadone-maintained smokers. Nicotine Tob Res. 2016;18(5):1157-62."
"Hickling, L et al. (2016)",1,"Hickling L, Perez-Iglesias R, McNeill A, Dawkins L, Moxham J, Ruffell T, et al. Electronic cigarettes as a harm-reduction strategy in people with serious mental illness: A pilot clinical trial. Poster presentation, Society for the Study of Addiction. Schizophrenia International Research Society (SIRS) 2016 Biennial Meeting, Italy 2016."
"Zhu, SH et al. (2017)",1,"Zhu SH, Zhuang YL, Wong S, Cummins S, Tedeschi GJ. E-cigarette use and associated changes in population smoking cessation: evidence from US current population surveys. BMJ Brit Med J. 2017;358:j3262."
"Cherng, ST et al. (2016)",1,"Cherng ST, Tam J, Christine PJ, Meza R. Modeling the Effects of E-cigarettes on Smoking Behavior: Implications for Future Adult Smoking Prevalence. Epidemiology. 2016;27(6):819-26."
"Levy, DT et al. (2017)",1,"Levy DT, Borland R, Lindblom EN, Goniewicz ML, Meza R, Holford TH, et al. Potential deaths averted in USA by replacing cigarettes with e-cigarettes. Tob Control. 2017: [E pub ahead of print] doi: 10.1136/tobaccocontrol-2017-053759."
"Levy, DT et al. (2016b)",2,"Levy D, Cummings K, Villanti A, Niaura R, Abrams D, Fong G, et al. A framework for evaluating the public health impact of e-cigarettes and other vaporized nicotine products. Addiction Debate. Addiction. 2016;112:8-17."
"Farand, C (2017)",1,Farand C. Euston station evacuated after 'e-cigarette explodes' www.independent.co.uk 2017. Available from: http://www.independent.co.uk/news/uk/home-news/euston-station-evacuated-evacuation-bomb-scare-london-latest-news-updates-police-trains-a7919191.html.
"Hooper, R and Walker, M (2016)",1,"Hooper R, Walker M. E-cigarette battery explodes in man's pocket inches from baby's pram as shoppers sent scrambling for cover www.mirror.co.uk 2016 [updated 22/12/2016]. Available from: http://www.mirror.co.uk/news/uk-news/e-cigarette-battery-explodes-mans-9498937."
"Diebelius, G (2017)",1,Diebelius G. Entire bedroom destroyed in fire after e-cigarette explodes www.metro.co.uk 2017 [updated 24/02/17]. Available from: http://metro.co.uk/2017/02/24/entire-bedroom-destroyed-in-fire-after-e-cigarette-explodes-6471620/.
"Parry, L (2015)",1,Parry L. E-cigarette warning: One in three parents 'risk poisoning their children with nicotine' because they fail to lock vaping liquid away www.dailymail.co.uk: Mail Online; 2015. Available from: http://www.dailymail.co.uk/health/article-3216879/E-cigarette-warning-One-three-parents-risk-poisoning-children-nicotine-fail-lock-vaping-liquid-away.html.
"Jamison, A et al. (2016)",1,"Jamison A, Lockington D. Ocular chemical injury secondary to electronic cigarette liquid misuse. JAMA Ophthalmol. 2016;134(12):1443."
"Prasanna, M and Narayanan, B (2016)",1,"Prasanna M, Narayanan B. Nicotine overdose-is it really a drink? Anaesthesia. 2016;71:12."
"Seo, AD et al. (2016)",1,"Seo AD, Kim DC, Yu HJ, Kang MJ. Accidental ingestion of E-cigarette liquid nicotine in a 15-month-old child: An infant mortality case of nicotine intoxication. Korean J Pediatrics. 2016;59(12):490-3."
"Noble, MJ et al. (2017)",1,"Noble MJ, Longstreet B, Hendrickson RG, Gerona R. Unintentional pediatric ingestion of electronic cigarette nicotine refill liquid necessitating intubation. Ann Emerg Med. 2017;69(1):94-7."
"Eggleston, W et al. (2016)",1,"Eggleston W, Nacca N, Stork CM, Marraffa JM. Pediatric death after unintentional exposure to liquid nicotine for an electronic cigarette. Clin Toxicol. 2016;54(9):890-1."
"Sommerfeld, K et al. (2016)",1,"Sommerfeld K, Lukasik-Glebocka M, Kulza M, Druzdz A, Panienski P, Florek E, et al. Intravenous and oral suicidal e-liquid poisonings with confirmed nicotine and cotinine concentrations. Forensic Sci Int. 2016;262:e15-e20."
"Rasanen, M et al. (2017)",1,"Rasanen M, Helantera I, Kalliomaki J, Savikko J, Parry M, Lempinen M. A case report of successful kidney donation after brain death following nicotine intoxication. Transpl P. 2017;49(1):229-31."
"Chen, BC et al. (2015)",1,"Chen BC, Bright SB, Trivedi AR, Valento M. Death following intentional ingestion of e-liquid. Clin Toxicol. 2015;53(9):914-6."
"You, G et al. (2016)",1,"You G, Rhee J, Park Y, Park S. Determination of nicotine, cotinine and trans-3 '-hydroxycotinine using LC/MS/MS in forensic samples of a nicotine fatal case by oral ingestion of e-cigarette liquid. J Forensic Sci. 2016;61(4):1149-54."
"Lam, RP et al. (2017)",1,"Lam RPK, Tang MHY, Leung SC, Chong YK, Tsui MSH, Mak TWL. Supraventricular tachycardia and acute confusion following ingestion of e-cigarette fluid containing AB-FUBINACA and ADB-FUBINACA: a case report with quantitative analysis of serum drug concentrations. Clin Toxicol. 2017;55(7):662-7."
"Chatham-Stephens, K et al. (2016)",2,"Chatham-Stephens K, Law R, Taylor E, Kieszak S, Melstrom P, Bunnell R, et al. Exposure calls to U. S. poison centers involving electronic cigarettes and conventional cigarettes - September 2010 - December 2014. J Med Toxicol. 2016;12(4):350-7."
"Kamboj, A et al. (2016)",2,"Kamboj A, Spiller HA, Casavant MJ, Chounthirath T, Smith GA. Pediatric exposure to e-cigarettes, nicotine, and tobacco products in the United States. Pediatrics. 2016;137 (6)(e20160041)."
"Forrester, MB (2015)",1,Forrester MB. Pediatric exposures to electronic cigarettes reported to Texas poison centers. J Emerg Med. 2015;49(2):136-42.
"Weiss, D et al. (2016)",1,"Weiss D, Tomasallo CD, Meiman JG, Creswell PD, Melstrom PC, Gummin DD, et al. Electronic cigarette exposure: Calls to Wisconsin poison control centers, 2010-2015. Wisconsin Med J. 2016;115(6):306-10."
"Vardavas, CI et al. (2017)",1,"Vardavas CI, Girvalaki C, Filippidis FT, Oder M, Kastanje R, de Vries I, et al. Characteristics and outcomes of e-cigarette exposure incidents reported to 10 European poison centers: a retrospective data analysis. Tob Induc Dis. 2017;15:36."
"Lisbona, D and Snee, T (2011)",1,"Lisbona D, Snee T. A review of hazards associated with primary lithium and lithium-ion batteries. Process Saf Environ. 2011;89(6):434-42."
"Mikolajczak, C et al. (2011)",1,"Mikolajczak C, Kahn M, White K, Long RT. Lithium-ion batteries hazard and use assessment: Final report. Quincy, Massachusetts: The Fire Protection Research Foundation; 2011."
"Mankowski, PJ et al. (2016)",1,"Mankowski PJ, Kanevsky J, Bakirtzian P, Cugno S. Cellular phone collateral damage: A review of burns associated with lithium battery powered mobile devices. Burns. 2016;42(4):e61-e4."
"Arnaout, A et al. (2017)",1,"Arnaout A, Khashaba H, Dobbs T, Dewi F, Pope-Jones S, Sack A, et al. The Southwest UK Burns Network (SWUK) experience of electronic cigarette explosions and review of literature. Burns. 2017;43(4):e1-e6."
"Nicoll, KJ et al. (2016)",1,"Nicoll KJ, Rose AM, Khan MA, Quaba O, Lowrie AG. Thigh burns from exploding e-cigarette lithium ion batteries: First case series. Burns. 2016;42(4):e42-6."
"Walsh, K et al. (2016)",1,"Walsh K, Sheikh Z, Johal K, Khwaja N. Rare case of accidental fire and burns caused by e-cigarette batteries. BMJ Case Reports. 2016;2016 212868."
"Rudy, SF and Durmowicz, EL (2016)",2,"Rudy SF, Durmowicz EL. Electronic nicotine delivery systems: overheating, fires and explosions. Tob control. 2016;26(1):10-8."
"Ramirez, JI et al. (2017)",1,"Ramirez JI, Ridgway CA, Lee JG, Potenza BM, Sen S, Palmieri TL, et al. The unrecognized epidemic of electronic cigarette burns. J Burn Care Res. 2017;38(4):220-4."
"Toy, J et al. (2017)",1,"Toy J, Dong F, Lee C, Zappa D, Le T, Archambeau B, et al. Alarming increase in electronic nicotine delivery systems-related burn injuries: A serious unregulated public health issue. Am J Emerg Med. 2017;35:1781-2."
"Polosa, R, et al. (2011)",1,"Polosa R, Caponnetto P, Morjaria JB, Papale G, Campagna D, Russo C. Effect of an electronic nicotine delivery device (e-cigarette) on smoking reduction and cessation: a prospective 6-month pilot study. BMC Public Health 2011;11(1):786."
"Canistro, D et al. (2017)",1,"Canistro D, Vivarelli F, Cirillo S, Marquillas CB, Buschini A, Lazzaretti M, et al. E-cigarettes induce toxicological effects that can raise the cancer risk. Sci Rep UK. 2017;7(1):2028."
"Behar, R and Talbot, P (2015)",1,"Behar RZ, Talbot P. Puffing topography and nicotine intake of electronic cigarette users. PloS One. 2015;10(2):e0117222."
"Yu, V et al. (2016)",1,"Yu V, Rahimy M, Korrapati A, Xuan Y, Zou AE, Krishnan AR, et al. Electronic cigarettes induce DNA strand breaks and cell death independently of nicotine in cell lines. Oral Oncol. 2016;52:58-65."
"Pankow, JF et al. (2017)",1,"Pankow JF, Kim K, McWhirter KJ, Luo W, Escobedo JO, Strongin RM, et al. Benzene formation in electronic cigarettes. PloS One. 2017;12(3):e0173055."
"Farsalinos, KE et al. (2017b)",1,"Farsalinos KE, Voudris V, Spyrou A, Poulas K. E-cigarettes emit very high formaldehyde levels only in conditions that are aversive to users: A replication study under verified realistic use conditions. Food Chem Toxicol. 2017;109:90-4."
"Stephens, WE (2017)",1,Stephens WE. Comparing the cancer potencies of emissions from vapourised nicotine products including e-cigarettes with those of tobacco smoke. Tob Control. 2017: doi: 10.1136/tobaccocontrol-2017-053808 [E pub ahead of print].
"Fuller, T et al. (2017)",1,"Fuller T, Acharya A, Bhaskar G, Yu M, Little S, Tarin T. Evaluation of e-cigarettes users urine for known bladder carcinogens: Mp88-14. J Urology. 2017;197(4):e1179."
"Hecht, SS (2002)",1,Hecht SS. Human urinary carcinogen metabolites: biomarkers for investigating tobacco and cancer. Carcinogenesis. 2002;23(6):907-22.
"Goniewicz, ML et al. (2017)",1,"Goniewicz ML, Gawron M, Smith DM, Peng M, Jacob P, Benowitz NL. Exposure to nicotine and selected toxicants in cigarette smokers who switched to electronic cigarettes: a longitudinal within-subjects observational study. Nicotine Tob Res. 2017;19(2):160-7."
"Farsalinos, KE et al. (2016b)",1,"Farsalinos K, Cibella F, Caponnetto P, Campagna D, Morjaria JB, Battaglia E, et al. Effect of continuous smoking reduction and abstinence on blood pressure and heart rate in smokers switching to electronic cigarettes. Intern Emerg Med. 2016;11(1):85-94."
"D'Ruiz, CD et al. (2017)",1,"D'Ruiz CD, O'Connell G, Graff DW, Yan XS. Measurement of cardiovascular and pulmonary function endpoints and other physiological effects following partial or complete substitution of cigarettes with electronic cigarettes in adult smokers. Regul Toxicol Pharm. 2017;87:36-53."
"Polosa, R et al. (2016)",1,"Polosa R, Morjaria JB, Caponnetto P, Caruso M, Campagna D, Amaradio MD, et al. Persisting long term benefits of smoking abstinence and reduction in asthmatic smokers who have switched to electronic cigarettes. Discov Med. 2016;21(114):99-108."
"Miler, JA et al. (2016)",1,"Miler J, Mayer B, Hajek P. Changes in the frequency of airway infections in smokers who switched to vaping: Results of an online survey. J Addict Res Ther. 2016;7(290):2."
"McConnell, R et al. (2017)",1,"McConnell R, Barrington-Trimis JL, Wang K, Urman R, Hanna H, Unger J, et al. Electronic cigarette use and respiratory symptoms in adolescents. Am J Resp Crit Care. 2017;195(8):1043-9."
"Schweitzer, RJ et al. (2017)",1,"Schweitzer RJ, Wills TA, Tam E, Pagano I, Choi K. E-cigarette use and asthma in a multiethnic sample of adolescents. Prev Med. 2017;105:226-31."
"Miler, JA and Hajek, P (2017)",1,"Miler JA, Hajek P. Resolution of recurrent tonsillitis in a non-smoker who became a vaper. A case study and new hypothesis. Med Hypotheses. 2017;109:17-8."
"Sleiman, M et al. (2016)",3,"Sleiman M, Logue JM, Montesinos VN, Russell ML, Litter MI, Gundel LA, et al. Emissions from electronic cigarettes: key parameters affecting the release of harmful chemicals. Environmental science & technology. 2016;50(17):9644-51."
"Farsalinos, KE et al. (2017c)",1,"Farsalinos KE, Kistler KA, Pennington A, Spyrou A, Kouretas D, Gillman G. Aldehyde levels in e-cigarette aerosol: Findings from a replication study and from use of a new-generation device. Food Chem Toxicol. 2017;111:64-70."
"Gillman, I et al. (2016)",1,"Gillman I, Kistler K, Stewart E, Paolantonio A. Effect of variable power levels on the yield of total aerosol mass and formation of aldehydes in e-cigarette aerosols. Regul Toxicol Pharm. 2016;75:58-65."
"Klager, S et al. (2017)",1,"Klager S, Vallarino J, MacNaughton P, Christiani DC, Lu Q, Allen JG. Flavoring chemicals and aldehydes in e-cigarette emissions. Envir Sci Tech. 2017;51(18):10806-13."
World Health Organization (1987),1,World Health Organization. Air quality guidelines for Europe. Copenhagen: WHO Regional office for Europe; 1987.
"Beauval, N et al. (2017)",1,"Beauval N, Antherieu S, Soyez M, Gengler N, Grova N, Howsam M, et al. Chemical evaluation of electronic cigarettes: Multicomponent analysis of liquid refills and their corresponding aerosols. J Anal Toxicol. 2017;14:1-9."
"Fujioka, K and Shibamoto, T (2006)",1,"Fujioka K, Shibamoto T. Determination of toxic carbonyl compounds in cigarette smoke. Environ Toxicol. 2006;21(1):47-54."
"Gerloff, J et al. (2017)",1,"Gerloff J, Sundar IK, Freter R, Sekera ER, Friedman AE, Robinson R, et al. Inflammatory response and barrier dysfunction by different e-cigarette flavoring chemicals identified by gas chromatography–mass spectrometry in e-liquids and e-vapors on human lung epithelial cells and fibroblasts. Appl In Vitro Toxicol. 2017;3(1):28-40."
"Putzhammer, R et al. (2016)",1,"Putzhammer R, Doppler C, Jakschitz T, Heinz K, Förste J, Danzl K, et al. Vapours of US and EU market leader electronic cigarette brands and liquids are cytotoxic for human vascular endothelial cells. PloS One. 2016;11(6):e0157337."
"Leigh, NJ et al. (2016)",1,"Leigh NJ, Lawton RI, Hershberger PA, Goniewicz ML. Flavourings significantly affect inhalation toxicity of aerosol generated from electronic nicotine delivery systems (ENDS). Tob Control. 2016;25(Suppl 2):ii81-ii7."
"Khlystov, A and Samburova, V (2016)",3,"Khlystov A, Samburova V. Flavoring compounds dominate toxic aldehyde production during e-cigarette vaping. Envir Sci Tech. 2016;50(23):13080-5."
"Geiss, O et al. (2016)",3,"Geiss O, Bianchi I, Barrero-Moreno J. Correlation of volatile carbonyl yields emitted by e-cigarettes with the temperature of the heating coil and the perceived sensorial quality of the generated vapours. Int J Hyg Envir Heal. 2016;219(3):268-77."
"Kosmider, L et al. (2014)",3,"Kosmider L, Sobczak A, Fik M, Knysak J, Zaciera M, Kurek J, et al. Carbonyl compounds in electronic cigarette vapors: effects of nicotine solvent and battery output voltage. Nicotine Tob Res. 2014;16(10):1319-26."
"Farsalinos, KE et al. (2015c)",1,"Farsalinos K, Voudris V, Poulas K. Are metals emitted from electronic cigarettes a reason for health concern? A risk-assessment analysis of currently available literature. Int J Environ Res Public Health. 2015;12:5215-32."
"Hess, CA et al. (2017)",2,"Hess CA, Olmedo P, Navas-Acien A, Goessler W, Cohen JE, Rule AM. E-cigarettes as a source of toxic and potentially carcinogenic metals. Environ Res. 2017;152:221-5."
"Aherrera, A et al. (2017)",1,"Aherrera A, Olmedo P, Grau-Perez M, Tanda S, Goessler W, Jarmul S, et al. The association of e-cigarette use with exposure to nickel and chromium: A preliminary study of non-invasive biomarkers. Environ Res. 2017;159:313-20."
"Logue, JM et al. (2017)",1,"Logue JM, Sleiman M, Montesinos VN, Russell ML, Litter MI, Benowitz NL, et al. Emissions from electronic cigarettes: Assessing vapers’ intake of toxic compounds, secondhand exposures, and the associated health impacts. Environ Sci Tech. 2017;51(16):9271-9."
"Liu, J et al. (2017)",1,"Liu J, Liang Q, Oldham MJ, Rostami AA, Wagner KA, Gillman I, et al. Determination of selected chemical levels in room air and on surfaces after the use of cartridge-and tank-based e-vapor products or conventional cigarettes. Int J Environ Res Pub He. 2017;14(9):969."
"Klepeis, NE et al. (2017)",1,"Klepeis NE, Bellettiere J, Hughes SC, Nguyen B, Berardi V, Liles S, et al. Fine particles in homes of predominantly low-income families with children and smokers: Key physical and behavioral determinants to inform indoor-air-quality interventions. PloS One. 2017;12(5):e0177718."
"Zwack, L et al. (2017)",1,"Zwack L, Stefaniak A, LeBouf R. Evaluation of chemical exposures at a vape shop: U.S. Department of Health and Human Services, Centers for Disease Control and Prevention, National Institute for Occupational Safety and Health; 2017. Available from: https://www.cdc.gov/niosh/hhe/reports/pdfs/2015-0107-3279.pdf."
"Shahab, L (2017)",1,"Shahab L. Toxicant and carcinogen exposure associated with long-term e-cigarette use. The E-Cigarette Summit: Science, Regulation & Public Health - 2017, London."
"Cravo, AS et al. (2016)",1,"Cravo AS, Bush J, Sharma G, Savioz R, Martin C, Craige S, et al. A randomised, parallel group study to evaluate the safety profile of an electronic vapour product over 12 weeks. Regul Toxicol Pharm. 2016;81:S1-S14."
"D’Ruiz, CD et al. (2016)",1,"D’Ruiz CD, Graff DW, Robinson E. Reductions in biomarkers of exposure, impacts on smoking urge and assessment of product use and tolerability in adult smokers following partial or complete substitution of cigarettes with electronic cigarettes. BMC Public Health. 2016;16(1):543."
"O'Connell, G et al. (2016)",1,"O’Connell G, Graff DW, D’Ruiz CD. Reductions in biomarkers of exposure (BoE) to harmful or potentially harmful constituents (HPHCs) following partial or complete substitution of cigarettes with electronic cigarettes in adult smokers. Toxicol Mech Method. 2016;26(6):453-64."
"Kotandeniya, D et al. (2015)",1,"Kotandeniya D, Carmella SG, Pillsbury ME, Hecht SS. Combined analysis of N′-nitrosonornicotine and 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol in the urine of cigarette smokers and e-cigarette users. J Chromatogr B. 2015;1007:121-6."
"Martin, EM et al. (2016)",1,"Martin EM, Clapp PW, Rebuli ME, Pawlak EA, Glista-Baker E, Benowitz NL, et al. E-cigarette use results in suppression of immune and inflammatory-response genes in nasal epithelial cells similar to cigarette smoke. Am J Physiol-Lung C. 2016;311(1):L135-L44."
"Pulvers, K et al. (2016)",1,"Pulvers K, Emami AS, Nollen NL, Romero DR, Strong DR, Benowitz NL, et al. Tobacco consumption and toxicant exposure of cigarette smokers using electronic cigarettes. Nicotine Tob Res. 2016:ntw333."
"Nelson, VA et al. (2015)",1,"Nelson VA, Goniewicz ML, Beard E, Brown J, Sheals K, West R, et al. Comparison of the characteristics of long-term users of electronic cigarettes versus nicotine replacement therapy: A cross-sectional survey of English ex-smokers and current smokers. Drug Alcohol Depend. 2015;153:300-5."
"Walele, T et al. (2016)",1,"Walele T, Sharma G, Savioz R, Martin C, Williams J. A randomised, crossover study on an electronic vapour product, a nicotine inhalator and a conventional cigarette. Part B: Safety and subjective effects. Regul Toxicol Pharm. 2016;74:193-9."
"Yuan, JM et al. (2011)",1,"Yuan JM, Gao YT, Murphy SE, Carmella SG, Wang R, Zhong Y, et al. Urinary levels of cigarette smoke constituent metabolites are prospectively associated with lung cancer development in smokers. Cancer Res. 2011;71(21):6749-57."
"Goniewicz, ML et al. (2009)",1,"Goniewicz ML, Havel CM, Peng MW, Jacob P, Dempsey D, Yu L, et al. Elimination kinetics of the tobacco-specific biomarker and lung carcinogen 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol. Cancer Epidemiol Biomarkers Prev. 2009;18(12):3421-5."
"Carmella, SG et al. (2004)",1,"Carmella SG, Le KA, Hecht SS. Improved method for determination of 1-hydroxypyrene in human urine. Cancer Epidemiol Biomarkers Prev. 2004;13(7):1261-4."
