Reference,doi,dir,title,journal,nrefs,type,conflicts
"Unger, JB et al. (2016)",10.1016/j.drugalcdep.2016.04.027,Documents/E-cigarette citation library.Data/PDF/3266006465/10.1016_j.drugalcdep.2016.04.027-2016.pdf,E-cigarette use and subsequent cigarette and marijuana use among Hispanic young adults,Drug and Alcohol Dependence,2,Journal article,"age will be mitigated if they play a role in the uptake of  obacco and other substance use   ole of funding source  This research was supported by the National Institutes of Health  grant 5R01DA016310    ontributors  Jennifer Unger was the Principal Investigator of the original  tudy  She designed the study  ran the analyses  and wrote the first  raft   Daniel Soto contributed to study design  survey des
ion of results   All authors approved of the final draft onflict of interest  The authors report no conflicts of interest pendence 163  2016  261â  264  References  Alawsi  F   Nour  R   Prabhu  S   2015  Are e cigarettes a gateway to smoking or a  pathway to quitting  Br  Dent  J  219  111â  115   Bostean  G   Trinidad  D R   McCarthy  W J   2015  E cigarette use among  never smoking California students "
"Hadwiger, ME et al. (2010)",10.1016/j.chroma.2010.10.018,Documents/E-cigarette citation library.Data/PDF/3223626461/10.1016_j.chroma.2010.10.018-2010.pdf,Identification of amino-tadalafil and rimonabant in electronic cigarette products using high pressure liquid chromatography with diode array and tandem mass spectrometric detection,Journal of Chromatography A,2,Journal article,
"Davis, B et al. (2015)",10.1093/ntr/ntu080,Documents/E-cigarette citation library.Data/PDF/1855056181/10.1093_ntr_ntu080-2015.pdf,Nicotine concentrations in electronic cigarette refill and do-it-yourself fluids,Nicotine and Tobacco Research,2,Journal article,ns on EC products  as well as the need for   guidelines to improve the integrity of manufacturing   Funding  This work was supported by the Tobacco Related Disease Research Program   of California  grants number 20XT 0118 and 22RT 0127  and the UCR   Academic Senate  BD was the recipient of a Cornelius Hopper Award and an   NSF pre doctoral fellowship   Declaration of Interests  None declared   Acknowled
"Offermann, FJ (2015)",10.1016/j.buildenv.2015.03.012,Documents/E-cigarette citation library.Data/PDF/3849891936/10.1016_j.buildenv.2015.03.012-2015.pdf,Chemical emissions from e-cigarettes: Direct and indirect (passive) exposures,Building and Environment,2,Journal article,
"Yang, L et al. (2014)",10.1136/tobaccocontrol-2013-051479,Documents/E-cigarette citation library.Data/PDF/4105261409/10.1136_tobaccocontrol-2013-051479-2014.pdf,Electronic cigarettes: Incorporating human factors engineering into risk assessments,Tobacco Control,2,Journal article,
"King, BA et al. (2013)",10.1093/ntr/ntt013,Documents/E-cigarette citation library.Data/PDF/0107528000/10.1093_ntr_ntt013-2013.pdf,"Awareness and ever-use of electronic cigarettes among U.S. adults, 2010-2011",Nicotine and Tobacco Research,2,Journal article,
"Moyses, C et al. (2014b)",10.1093/ntr/ntu122,Documents/E-cigarette citation library.Data/PDF/0005189464/10.1093_ntr_ntu122-2015.pdf,Evaluation of a novel nicotine inhaler device: Part 2-effect on craving and smoking urges,Nicotine and Tobacco Research,1,Journal article,"Material  Supplementary Figures S1â  S3 can be found online at http   www ntr   oxfordjournals org  Funding  This study was supported by Kind Consumer Limited  London  UK    Nicoventures Ltd  London  UK  provided development funding in return for   the license to the final product  Nicoventures is part of the British American   Tobacco Group but is separate from the tobacco businesses   Declaration of In
terests  CM and AH are employees of Kind Consumer Limited  AR has no conflicts   of interest to disclose   Acknowledgments  The authors thank Linda Brown  BSc  Hons   of Caudex Medical  Oxford  UK     funded by Nicoventures Ltd  for assistance with the preparation of the initial   draft of the manuscript  collating author comments  and assembling tables and   figures  The au"
"Levy, DT et al. (2016a)",10.1093/ntr/ntw158,Documents/E-cigarette citation library.Data/PDF/3973745324/10.1093_ntr_ntw158-2017.pdf,The application of a decision-theoretic model to estimate the public health impact of vaporized nicotine product initiation in the United States,Nicotine and Tobacco Research,1,Journal article,"s 1â  5 and Supplementary Figures 1â  3 can be   found online at http   www ntr oxfordjournals org  Funding  Funding was received by DTL  DBA  RN  and ACV from the National Institute   on Drug Abuse under grant R01DA036497  TRH and RM received funding   FigureÂ 4  Dual versus exclusive vaporized nicotine product  VNP  use sensitivity analysis among never smokers  Sensitivity analysis is conducted holding
ncer Control and Population Sciences  NCI under grant   UO1 CA97450  RB  KMC  GTF  and DTL received funding from the National   Cancer Institute under grant P01 CA200512   Declaration of Interests  KMC has received grant funding from the Pfizer  Inc  to study the impact of   a hospital based tobacco cessation intervention  and has received funding as   an expert witness in litigation filed against the to
bacco industry  No other   conflicts of interest are declared   Acknowledgments  We thank Eric Lindblom  Georgetown University Law School  for comments   on an earlier draft   References   1  Abrams DB  Promise and peril of e cigarettes  can disruptive technology   make cigarettes obsolete  JAMA  2014 311 2  135â  139  doi 10 1001   jama 2013 285347    2  N"
"Marco, E and Grimalt, J (2015)",10.1016/j.chroma.2015.07.094,Documents/E-cigarette citation library.Data/PDF/2471216889/10.1016_j.chroma.2015.07.094-2015.pdf,A rapid method for the chromatographic analysis of volatile organic compounds in exhaled breath of tobacco cigarette and electronic cigarette smokers,Journal of Chromatography A,1,Journal article,
"Unger, J (2015)",10.1093/ntr/ntv186,Documents/E-cigarette citation library.Data/PDF/2596511649/10.1093_ntr_ntv186-2015.pdf,E-Cigarettes: Introducing new complexities and controversies to the field of nicotine and tobacco research,Nicotine and Tobacco Research,1,Journal article,
"Stoklosa, M et al. (2016)",10.1093/ntr/ntw109,Documents/E-cigarette citation library.Data/PDF/2926727350/10.1093_ntr_ntw109-2016.pdf,Prices and e-cigarette demand: Evidence from the European Union,Nicotine and Tobacco Research,1,Journal article,tary Material  Supplementary Appendix 1 can be found online at http   www ntr   oxfordjournals org  Funding  The American Cancer Society  ACS   contract number 20512  provided the   funds to purchase the data analyzed in the article  The contents of this article   are the sole responsibility of the authors and cannot be regarded as reflecting   the positions of ACS   Declaration of Interests  None declar
"Gray, NJ (2013)",10.1093/ntr/ntt171,Documents/E-cigarette citation library.Data/PDF/0025770606/10.1093_ntr_ntt171-2014.pdf,"Nicotine yesterday, today, and tomorrow: A global review",Nicotine and Tobacco Research,1,Journal article,"ed on the market  Here  it is necessary to   spell out what we mean by â œregulationâ   as the real conflict   between the objectives of public health and of the tobacco   industry lies in the upper limits that regulators might prescribe   for the carcinogens and toxins in theÂ smoke   The public health objective is to provide a cigarette with   the lowest possible content of carcinogens toxins and a know
ve the tobacco from   fungus or other contaminants   â  	 Obviously  all additives would have to be declared and   approved  As an example  if the regulator sets the upper lim   its close to  perhaps within 10  or 20   the lowest achiev   able levels  most of the brands now in existence would be   unacceptable   It is extremely difficult to think of a justifiable reason for   allowing brands with higher"
"Hughes, K et al. (2015)",10.1186/s12889-015-1618-4,Documents/E-cigarette citation library.Data/PDF/3847859563/10.1186_s12889-015-1618-4-2015.pdf,Associations between e-cigarette access and smoking and drinking behaviours in teenagers,BMC Public Health,1,Journal article,cigarettes  illicitly once a ban on sales to children is imposed   Competing interests  The authors declare that they have no competing interests   Authorsâ   contributions  KH conceptualised the study  analysed the data and wrote the manuscript  MAB  and KAH contributed to data analysis and manuscript writing  PM formatted  data for analysis and edited the manuscript  AB and RI contributed to study  de
"Szatkowski, L and McNeill, A (2014)",10.1093/ntr/ntu173,Documents/E-cigarette citation library.Data/PDF/2963948989/10.1093_ntr_ntu173-2015.pdf,Diverging trends in smoking behaviors according to mental health status,Nicotine and Tobacco Research,1,Journal article,"pplementary Material  Supplementary data can be found online at http   www ntr oxfordjournals org   Funding  Both authors are members of the UK Centre for Tobacco and Alcohol Studies    Funding to UKCTAS from the British Heart Foundation  Cancer Research UK    TableÂ 1  Annual Absolute   Changes in Smoking Behaviors Among Respondents Reporting and Not Reporting a Longstanding Mental   Health Disorder or 
earch  under the auspices of the UK   Clinical Research Collaboration  is gratefully acknowledged   Declaration of Interests  None declared   Acknowledgments  The authors thank Dr  Elena Ratschen  University of Nottingham  for her com   ments on the manuscript  Our analysis of trends in smoking behaviors was   carried out as part of a wider report on smoking and mental health commis   sioned by the Roya"
"Schmidt, L et al. (2013)",10.5888/pcd11.140283,Documents/E-cigarette citation library.Data/PDF/0326050913/10.5888_pcd11.140283-2014.pdf,"Prevalence and reasons for initiating use of electronic cigarettes among adults in montana, 2013",Preventing Chronic Disease,1,Journal article,
"Torjesen, I (2014)",10.1136/bmj.g6882,Documents/E-cigarette citation library.Data/PDF/0203078784/10.1136_bmj.g6882-2014.pdf,E-cigarette vapour could damage health of non-smokers,BMJ (Online),1,Journal article,
"Coleman, BN et al. (2014)",10.1093/ntr/ntu211,Documents/E-cigarette citation library.Data/PDF/2882781562/10.1093_ntr_ntu211-2015.pdf,Association between electronic cigarette use and openness to cigarette smoking among US young adults,Nicotine and Tobacco Research,1,Journal article,n ENDS   use  including e cigarettes  and conventional cigarette use in young   adult populations   Declaration of Interests  None declared   Acknowledgments  The findings and conclusions in this report are those of the authors and   do not necessarily represent the official position of the US Food and Drug   Administration or the Centers for Disease Control and Prevention  The   authors acknowledge H Â
"Eastwood, B et al. (2017)",10.1016/j.puhe.2017.03.019,Documents/E-cigarette citation library.Data/PDF/2183410557/10.1016_j.puhe.2017.03.019-2017.pdf,Electronic cigarette use in young people in Great Britain 2015–2016,Public Health,1,Journal article,"ovided either by the parents of those aged 11e15  years  or by those individuals aged 16e18 years   Funding  Action on Smoking and Health commission and fund the  annual youth survey  which is conducted by YouGov  Public  Health England provided the analytical resources for this  study  AM and LB were supported by Cancer Research UK  grant C25586 A19540   Competing interests  Brian Eastwood is employed f
ull time at PHE and has received  funding from PHE to support his PhD at the Institute of Psy   chiatry  Psychology and Neurosciences  King s College Lon   don  Deborah Arnott and Hazel Cheeseman are employed full  time at ASH  which receives funding for its survey work from  the British Heart Foundation  Cancer Research UK and the  Depart
ment of Health  ASH receives no funding from com   mercial organisations  Martin Dockrell  Katherine East  Leo   nie Brose and Ann McNeill and have no interests to declare   AM and LB were authors of the PHE E cigarette report2 and  AM a contributor to the RCP report 3 AM  LB and KE are  members of the UK Centre for Tobacco and Alcohol S
tudies  which receives core funding from the British Heart Founda   tion  Cancer Research UK  Economic and Social Research  Council  Medical Research Council  and the Department of  Health under the auspices of the UK Clinical Research  Collaboration   All authors contributed to the analysis plan  which was  implemented by BE  All au"
"Brose, LS et al. (2017a)",10.1093/eurpub/ckw268,Documents/E-cigarette citation library.Data/PDF/0426522864/10.1093_eurpub_ckw268-2017.pdf,Restrictions on the use of e-cigarettes in public and private places-current practice and support among adults in Great Britain,European Journal of Public Health,1,Journal article,"data which YouGov collected and shared with the  authors who conducted all analyses reported here   Funding  This study was supported by a number of sources  L B  is funded by  a Cancer Research UK  CRUK  BUPA Foundation Cancer  Prevention Fellowship  C52999 A19748   This work was part  funded by a separate grant  C25586 A19540   L B  and A Mc N   are members of the UK Centre for Tobacco and Alcohol Stud
of Public Health  UK Clinical Research Collaboration Public Health Research  Centre  of Excellence  Funding from the Medical Research Council  British  Heart Foundation  Cancer Research UK  Economic and Social  Research Council and the National Institute for Health Research  under the auspices of the UK Clinical Research Collaboration is  gratefully acknowledged 35  MR K023195 1   DA and HC are  employed
 by Action on Smoking   Health which receives funding  from CRUK  British Heart Foundation and the Department of  Health   Conflicts of interest  None declared   Key points    This study for the first time provides information on  practices and policies on e cigarette use in workplaces and  homes in Great Britain    The majority of workplaces appear t"
"Heather, N et al. (2017)",10.1080/16066359.2017.1399659,Documents/E-cigarette citation library.Data/PDF/1223391798/10.1080_16066359.2017.1399659-2017.pdf,Challenging the brain disease model of addiction: European launch of the addiction theory network,Addiction Research and Theory,1,Journal article,"her countries of the world  Research linked to the  BDMA has also come to swallow up almost all the funding  for research on addiction on the planet  resulting in a demise  in funding for research on the prevention of addiction and  approaches other than pharmacotherapy to its treatment   This self perpetuating research agenda has also tended to  appropriate all available data on neurobiological change i
 https   abcdstudy org   ADDICTION RESEARCH   THEORY 253  Disclosure statement  The authors have no conflicts of interest to declare   References  Animal Farm  2014  Editorial  Nature  506 5   Beauchamp TL  Childress JF  1989  Principles of biomedical ethics   3rd ed  New York  NY   Oxford University Press   Berridge KC  2017  Is addiction a brain disease  Neuroethics  10 29â  33   Best D  Albertson K  Ir"
"Hajek, P et al. (2017)",10.1007/s00213-017-4826-z,Documents/E-cigarette citation library.Data/PDF/3876265593/10.1007_s00213-017-4826-z-2018.pdf,Initial ratings of different types of e-cigarettes and relationships between product appeal and nicotine delivery,Psychopharmacology,1,Journal article,"dgements We are grateful to ABS Laboratories for their exper   tise and help with sample analysis   Funding information The study was supported primarily by internal  funds of the Health and Lifestyle Research Unit  with contributions from  Exane BNP Paribas providing some of the study products and Â 5000  towards the study costs  and Public Health England funding sample anal   yses  Neither organisation
h Ethics Service Committee SE Coast  14 LO 0358    All participants gave written informed consent   Conflict of interest PH and HM have received research funding from   and provided consultancy to  pharmaceutical companies manufacturing  smoking cessation medications  Other authors declare that they have no  conflict of interest   Open Access This article is distributed under the terms of the Creative  Co"
"Gakidou, E et al. (2016)",10.1016/S0140-6736(17)32366-8,Documents/E-cigarette citation library.Data/PDF/2963184073/10.1016_S0140-6736(17)32366-8-2017.pdf,"Global, regional, and national comparative risk assessment of 84 behavioural, environmental and occupational, and metabolic risks or clusters of risks, 1990-2016: A systematic analysis for the Global Burden of Disease Study 2016",The Lancet,1,Journal article,"tial to improve health  risk modification has played a relatively   small part in the past decade   Funding The Bill   Melinda Gates Foundation  Bloomberg Philanthropies   Copyright Â  The Author s   Published by Elsevier Ltd  This is an Open Access article under the CC BY 4 0 license   Lancet 2017  390  1345â  422   Collaborators listed at the end   of the Article  For more on Bloomberg   Philanthropies
r capita  More details   on the estimation of SDI can be found in appendix 1    p 32    Role of the funding source  The funders of the study had no role in the study design    data collection  data analysis  data interpretation  or   writing of the report  The authors had full access to all   data in the study and had final responsibility for the   decision to submit for publication   Results  Global exp
6   â  2Â 58    â  6Â 78 to 1Â 58   â  20Â 52    â  23Â 97 to â  17Â 23    Â Â  Forces of nature    conflict and terrorism    and state actor   violence  0Â 05    0Â 03 to 0Â 07   0Â 02    0Â 01 to 0Â 03   â  61Â 88    â  74Â 78 to   â  49Â 82    â  68Â 62    â  79Â 42 to â  58Â 85    7Â 32    2Â 99 to 15Â 95   8Â 92    2Â 89 to 21Â 37   21Â 82    â  10Â 52 to 35Â 55   1Â 45    â  25Â 71 to 12Â 96   3 Smo
1Â 16   13Â 45    7Â 54 to 19Â 57    â  11Â 45    â  15Â 88 to â  6Â 82    Â Â  Forces of nature    conflict and terrorism    and state actor   violence  0Â 60    0Â 40 to 0Â 81   0Â 37    0Â 21 to 0Â 57   â  38Â 05    â  56Â 98 to   â  20Â 83    â  51Â 96    â  66Â 57 to â  38Â 70    22Â 35    13Â 90 to 36Â 70   22Â 95    10Â 58 to 47Â 82   2Â 68    â  28Â 79 to 30Â 32   â  19Â 58    â  43Â 89 to 1Â 64  
ight also reflect the continuing   challenge of changing many risky behaviours  Relatively   little funding for research on changing behaviours   compared with new diagnostics and therapeutics might   also be part of the explanation of the prevention paradox 23 24   Changing behavioural risks could also require more than   government action  harnessing the private sector to   facilitate behavioural chang
 low intake of legumes   and low intake of vegetables separately   The decade of 2016â  25 has been declared as the Decade   of Action on Nutrition by the United Nations General   Assembly 44 GBD 2016 provides a comprehensive picture   of various forms of malnutrition  ie  undernutrition    overweight or obesity  and poor dietary habits  across all   countries at the start of the Decade of Action on Nut
rnal  neonatal  and nutritional causes  but has played a   relatively small part in trends in NCDs  Conflicting trends   in risks for NCDs at the global level  such as the decline in   Global Health Metrics  www thelancet com   Vol 390   September 16  2017 1413  smoking prevalence coupled with the rise in obesity  FPG    and SBP  account for this finding  By contrast with trends   in diseases and injuries
ng data    designing or coding figures and tables  and managing the overall   research enterprise   Declaration of interests  Laith J Abu Raddad acknowledges the support of Qatar National Research   Fund  NPRP 9 040 3 008   who provided the main funding for generating   the data provided to the GBD IHME effort  Anurag Agrawal received a   Wellcome Trust DBT India Alliance fellowship  Ashish Awasthi rece
of   NIH  R01 AI124389 and R01 AI112339  and FIC of NIH  D43 TW009775     Boris Bikbov has received funding from the European Unionâ  s Horizon   2020 research and innovation programme under Marie Sklodowska Curie   grant agreement No  703226  Boris Bikbov acknowledges that work related   to this paper has been done on the behalf of the GBD Genitourinary   Disease Expert Group  Cyrus Cooper reports perso
SPHSU13   SPHSU15     Christian Kieling has received support from Brazilian governmental   research funding agencies Conselho Nacional de Desenvolvimento   CientÃ fico e TecnolÃ gico  CNPq   CoordenaÃ Ã o de AperfeiÃ oamento de   Pessoal de NÃ vel Superior  CAPES   FundaÃ Ã o de Amparo Ã  Pesquisa do   Estado do Rio Grande do Sul  Fapergs   and Hospital de ClÃ nicas de Porto   Alegre  FIPE HCPA   Ai Koya
ship with Public Health England  PHE   for research support    Katharine J Looker received separate funding from WHO and Sexual   Health 24 during the course of this study  These funders had no role in the   writing of the manuscript nor the decision to submit it for publication  The   views expressed are those of the authors and not necessarily those of the   National Health Service  the NIHR  the Depar
   international organization that develops measures for clinical trials and   receives arms length funding from 36 pharmaceutical companies  Michael   Soljak received funding from Public Health England for modelling of NCD   prevalence  Cassandra Szoeke reports grants from the Australian National   Medical Health Research Council  NHMRC  during the conduct of the   study  and grants from Lundbeck and Al
nice Kennedy Shriver National   Institute of Child Health and Human Development  with cooperative   funding from 17 other agencies  Special acknowledgment is due to Ronald   R Rindfuss and Barbara Entwisle for assistance in the original design    Persons interested in obtaining data files from Add Health should contact   Add Health  Carolina Population Center  123 W Franklin Street  Chapel   Hill  NC 275
6 028812  and FP7  SHARE PREP  NÂ 211909  SHARE LEAP    NÂ 227822  SHARE M4  NÂ 261982   Additional funding from the German   Ministry of Education and Research  the Max Planck Society for the   Advancement of Science  the US National Institute on Aging    U01_AG09740 13S2  P01_AG005842  P01_AG08291  P30_AG12815    R21_AG025169  Y1 AG 4553 01  IAG_BSR06 11  OGHA_04 064    HHSN271201300071C  and from vari
ous national funding sources is   gratefully acknowledged  HBSC is an international study carried out in   collaboration with WHO EURO  The International Coordinator of the   1997 98  2001 02  2005 06 and 2009 10 surveys was Candace Currie and   the Data Bank Manager for the 1997 98 survey was Bente Wold  whereas   for
  on individual participant data  BMJ 2014  349  g4164   56 McCambridge J  Hartwell G  Has industry funding biased studies of   the protective effects of alcohol on cardiovascular disease    A preliminary investigation of prospective cohort studies    Drug Alcohol Rev 2015  34  58â  66   57 Bilano V  Gilmour S  Moffiet T  et al  Global trends and projections   for tobacco use  1990â  2025  an analysis of"
"Greenhill, R et al. (2016)",10.1016/j.jadohealth.2016.08.005,Documents/E-cigarette citation library.Data/PDF/1435108801/10.1016_j.jadohealth.2016.08.005-2016.pdf,Adolescent Awareness and Use of Electronic Cigarettes: A Review of Emerging Trends and Findings,Journal of Adolescent Health,1,Journal article,"shed by Elsevier Inc  on behalf of Society for Adolescent Health  and Medicine  All rights reserved Conflicts of Interest  The authors of this paper have no conflicts of interest to  declare     Address correspondence to  John J D  Turner  Ph D   School of Psychology   University of East London  Stratford Campus  Water Lane  London E15 4LZ   United Kingdom   E mail address  j j d turner uel ac uk  J J D  
tion or cessation efforts   R  Greenhill et al    Journal of Adolescent Health 59  2016  612e619 619Funding Sources  This work is supported by Cancer Research UK grant C50882   A20492  The funding source had no role or involvement at any  stage of the literature review References   1  Use of electronic cigarettes  vapourisers  among adults in Great Britain   2015  Available at  http   www ash org uk file"
"Villanti, AC et al. (2016)",10.1093/ntr/ntw388,Documents/E-cigarette citation library.Data/PDF/3977761385/10.1093_ntr_ntw388-2017.pdf,Frequency of youth e-cigarette and tobacco use patterns in the United States: Measurement precision is critical to inform public health,Nicotine and Tobacco Research,1,Journal article,"at Nicotine   Tobacco Research   online   Nicotine   Tobacco Research  2017  Vol  19  No  11  1350  Funding  JLP was supported by National Institute of Drug Abuse and the Food and   Drug Administration  K01DA037950   All other authors were financially sup   ported by Truth Initiative  ACV and ALJ had full access to all of the data in   the study and take responsibility for the integrity of the data and t
oes not necessarily represent the official views of the NIH or the   Food and Drug Administration   Declaration of Interests  None declared   Acknowledgments  We would like to thank Ken Warner for his feedback on an earlier draft of   the manuscript   References   1  U S  Department of Health and Human Services  The Health Consequences   of Smokingâ  50 Years of Progress  AÂ  Report of the Surgeon Gener"
"Coleman, BN et al. (2017)",10.3390/ijerph16132329,Documents/E-cigarette citation library.Data/PDF/0331507977/10.3390_ijerph16132329-2019.pdf,"An examination of device types and features used by adult electronic nicotine delivery system (ENDS) users in the PATH study, 2015–2016",International Journal of Environmental Research and Public Health,1,Journal article,"ussion section   All co authors approved the final  version of the manuscript prior to submission   Funding  This study is supported with Federal funds from the National Institute on Drug Abuse  National  Institutes of Health  and the Center for Tobacco Products  Food and Drug Administration  Department of Health  and Human Services  under a contract to Westat  Contract No  HHSN271201100027C   No contrac
t funding was  Int  J  Environ  Res  Public Health 2019  16  2329 6 of 6  provided specifically for conducting the analysis  drafting the manuscript  or submitting this paper for publication   No financial disclosures were reported by the authors of this paper   Acknowledgments  The authors acknowledge Debor
ah Neveleff  MBA  from the U S  Food and Drug Administrationâ  s  Center for Tobacco Products   Conflicts of Interest  The authors declare no conflict of interest   Disclaimer  The views and opinions expressed in this manuscript are those of the authors only and do not  necessarily represent the views  official policy or position of the U S  Department of Health and Human Services  or any of its affil"
"Van Tulder, M et al. (2003)",10.1097/00007632-200306150-00014,Documents/E-cigarette citation library.Data/PDF/0610898475/10.1097_00007632-200306150-00014-2003.pdf,Updated method guidelines for systematic reviews in the Cochrane Collaboration Back Review Group,Spine,1,Journal article,"ada Re   search Chair in Knowledge Transfer for Musculoskeletal Care  To   ronto  Ontario  Canada   Funding provided by the Institute for Work   Health  Toronto  On   tario  Canada   CIHR  Canadian Institute of Health Research   and the  Institute for Research in Extramural Medicine  EMGO Institute   Am   sterdam  The Netherlands   The manuscript submitted does not contain information about medical  devi
G method guidelines4 or published Cochrane reviews   Further Guidance  Study Design  Description of funding sources and potential  conflict of interest of authors of trials is recommended   Outcomes  Outcomes of physical examination  range of  motion  spinal flexibility  degrees of straight leg raising  or  muscle strength   other symptoms  medication use  health care  utilization   and economic outcomes
nguage  The empirical evidence on exclusion of trials  published in other languages than English is conflicting  Some  authors suggested that it might be associated with bias 14â  16  whereas others showed that it has generally little effect on sum   mary treatment effect estimates 17 18 Inclusion of studies pub   lished in other languages than English is recommended  al   though we acknowledge that it ma
ackground   assess the quality of the studies  In systematic reviews where  there is likely to be a conflict of interest  e g   chiropractors  reviewing spinal manipulation  or physiotherapists reviewing  exercise therapy   it may be desirable to additionally mask the  1293Updated Guidelines for Systematic Reviews â   van Tulder et al  studies also for results and conclusions or to include as a re   viewe
r someone who has no conflict of interest in the assess   ment of the quality of the studies  Also  if one of the reviewers  is a an  co author of one of the included trials  this person  should not be involved in the quality assessment of the trial at  issue   We recommend that reviewers pilot test the methodologic  quality as
ow quality RCTs and or  CCTs and or one high quality RCT  Limitedâ  one low quality RCT and or CCT  Conflictingâ  inconsistent findings among multiple trials  RCTs and or  CCTs   No evidence from trialsâ  no RCTs or CCTs  Consistency and quality should be clearly defined a priori    There is consensus among the Editorial Board of the BRG that strong  evidence can only be provided by multiple high quality 
ong term  follow up  â    Contradictory findings across trials  â   Qualitative analysis   There is conflicting evidence  X trials  no  of people  on the  effectiveness of intervention A compared to control B for patients  with acute subacute chronic back neck pain with without neurologic  symptoms on outcome A  B  and C  short or long term follow up    No evidence  There is no evidence from RCTs or CCTs "
"Thurgood, SL et al. (2016)",10.1093/ntr/ntv127,Documents/E-cigarette citation library.Data/PDF/3885206616/10.1093_ntr_ntv127-2016.pdf,A systematic review of smoking cessation interventions for adults in substance abuse treatment or recovery,Nicotine and Tobacco Research,1,Journal article,"entary Material S1 and Tables S2 and S3 can be found   online at http   www ntr oxfordjournals org  Funding  UK Centre for Tobacco   Alcohol Studies  a UK Clinical Research   Collaboration Public Health Research Centre of Excellence  Funding from the   Medical Research Council  British Heart Foundation  Cancer Research UK    Economic and Social Research Council and the National Institute for Health   Res
earch under the auspices of the UK Clinical Research Collaboration  MR   K023195 1    Declaration of Interests  None declared   Acknowledgments  Thanks to Dr Rachel Povey and Dr Owen Richardson for reviewing and com   menting on earlier drafts of this article and to Vera Stanley for proof reading   References   1  World Health Organisation  Tobacco  Fact Sheet 339  2014  www who   int medi"
"Arnaout, A et al. (2017)",10.1016/j.burns.2017.01.008,Documents/E-cigarette citation library.Data/PDF/0440243253/10.1016_j.burns.2017.01.008-2017.pdf,The Southwest UK Burns Network (SWUK) experience of electronic cigarette explosions and review of literature,Burns,1,Journal article,th and safety  implications for the wider public  especially in high risk areas  such as aviation   Conflict of interest  Authors have no conflict of interest   Ethics approval  Not required   Consent to participate publish  Written consent available on request   Funding  Nil   No raw data available   Acknowledgement  Not applicable   b u r n s 4 3   2 0 1 7   e 1 â   e 6 e5  R E F E R E N C E S   1  Fire
"Nicoll, KJ et al. (2016)",10.1016/j.burns.2016.03.027,Documents/E-cigarette citation library.Data/PDF/1409421476/10.1016_j.burns.2016.03.027-20161.pdf,Thigh burns from exploding e-cigarette lithium ion batteries: First case series,Burns,1,Journal article, residual lithium contamination  may limit burn  wound extension and potentially improve outcomes   Conflicts of interest  None   r e f e r e n c e s   1  Action on Smoking and Health Factsheet  Use of electronic  cigarettes  vapourisers  among adults in Great Britain  2015   cited 2016 18 01 2016   Available from  http   www ash org   uk files documents ASH_891 pdf    2  Goniewicz ML  Knysak J  Gawron M 
"Polosa, R, et al. (2011)",10.1186/1471-2458-14-1159,Documents/E-cigarette citation library.Data/PDF/2988241888/10.1186_1471-2458-14-1159-2014.pdf,Success rates with nicotine personal vaporizers: A prospective 6-month pilot study of smokers not intending to quit,BMC Public Health,1,Journal article,"eviation  IQR  Interquartile range   Competing interests  RP has received lecture fees and research funding from Pfizer and  GlaxoSmithKline  manufacturers of stop smoking medications  He has also served  as a consultant for Pfizer and Arbi Group Srl  an Italian distributor of e Cigarettes   RP is currently scientific advisor for LIAF  Lega Italiana Anti Fumo  Italian acronym  for Italian Anti Smoking Le
ague   PC  MM  JBM  and CR have no relevant  competing interest to declare in relation to this work   Authorsâ   contributions  RP  Principal investigator  was involved in the study concept  protocol design   data interpretation and drafting the manuscript  PC  Co Principal investigator   was involved in the study concept  protocol design  recruiting of subjects   conduc"
"Behar, R and Talbot, P (2015)",10.1371/journal.pone.0117222,Documents/E-cigarette citation library.Data/PDF/0185784090/10.1371_journal.pone.0117222-2015.pdf,Puffing topography and nicotine intake of electronic cigarette users,PLoS ONE,1,Journal article,"r and source are  credited   Data Availability Statement  All relevant data are  within the paper   Funding  This work was funded by the University of  California Tobacco Related Disease Research  Program Grant  22RT 0127 awarded to PT  National  Institutes of Health Predoctoral Fellowship grant   F32HL116121 awarded to RB  University of  California Chancellors Research Fellowship awarded  to MH  The fun
sis  decision to publish  or  preparation of the manuscript   Competing Interests  The authors have declared  that no competing interests exist   Conclusions  EC puffing topography was variable among participants in the study  but often similar within  an individual between brands or days  Puff duration  inter puff interval  and puff volume var   ied from conventional cigarette standards  Data on total "
"Dawkins, L et al. (2013a)",10.1007/s00213-013-2983-2,Documents/E-cigarette citation library.Data/PDF/3586900861/10.1007_s00213-013-2983-2-2013.pdf,Nicotine derived from the electronic cigarette improves time-based prospective memory in abstinent smokers,Psychopharmacology,1,Journal article,"Ethics Committee and was  performed in accordance with the ethical standards laid  down in the 1964 Declaration of Helsinki   Results  Demographics  The participants were moderately dependent on nicotine as  indexed by a mean FTND score of 4 55  SD 1 90    Participants complied with the instruction to remain absti   nent prior to both testing occasions with a mean CO level of  6 55  SD 1 47  prior to th
 ameliorator of negative mood and mild cognitive impair   ment associated with tobacco abstention   Funding None  Conflict of interest The first author has a collaborative relationship  with Totally Wicked E Liquids  TWEL   who provided the electronic  cigarettes for this study  TWEL had no involvement in the design   conduct or write up of this study   References  Ahnallen CG  Nestor PG  Shenton ME  McC"
